date,city,latitude,longitude,temperature,humidity,pressure,wind_speed,precipitation,cloud_cover,risk_level
2020-01-01,Chennai,13.08,80.27,24.80482951856559,35.67122960541096,1024.8228404018812,20.16241606615921,7.337661422099028,14.567605879383883,Moderate
2020-01-02,Chennai,13.08,80.27,22.133942360148808,32.28220626633874,1010.9387978833146,21.12749753777865,1.6732654291614408,70.91773507974736,Moderate
2020-01-03,Chennai,13.08,80.27,6.5459402743885375,63.59299931094745,994.5612033566208,21.532473554369506,0.0,47.54776556794028,Moderate
2020-01-04,Chennai,13.08,80.27,8.014842722304463,60.48635418807608,1015.9336409318003,21.58815570434173,10.420317136931002,79.17532166508774,Moderate
2020-01-05,Chennai,13.08,80.27,10.38514189841191,60.295879600844806,999.5088783190181,23.864158427021803,0.06915423030490953,29.980015179702534,Moderate
2020-01-06,Chennai,13.08,80.27,24.848895348276773,64.78308784342963,1000.1834156990225,6.582807173698751,17.589394316346755,9.634892992737964,Moderate
2020-01-07,Chennai,13.08,80.27,5.705052118972551,37.387344149030696,1013.6160802577449,29.95200702457004,9.546458580746073,43.931853863627104,Low
2020-01-08,Chennai,13.08,80.27,10.455218906357462,54.910695503815326,1022.8180456922626,4.35648690550726,0.0,29.0557975759415,Low
2020-01-09,Chennai,13.08,80.27,13.303921249013515,43.223295122931574,991.5538894177729,18.48433525941099,0.0,5.028909822791383,Moderate
2020-01-10,Chennai,13.08,80.27,11.34196375180575,61.18044372127926,998.0098060344691,10.921415044212754,13.484481691790194,5.795572567725326,Moderate
2020-01-11,Chennai,13.08,80.27,11.424460375526017,31.088736429107392,1017.6629648792973,18.55385530441336,3.8835734021897146,78.53958158050007,Moderate
2020-01-12,Chennai,13.08,80.27,11.165199740660636,63.845423046064134,1009.0380487683806,10.217708749134705,0.0,21.378135244190986,Low
2020-01-13,Chennai,13.08,80.27,11.55892184384246,35.35152148721664,1005.9617489490342,4.45978808917615,1.678265118735231,2.300635361802128,Low
2020-01-14,Chennai,13.08,80.27,6.6884671044790185,47.786649943974595,1009.5608329186567,2.157629518652968,2.5242031445887654,79.81953297029747,Low
2020-01-15,Chennai,13.08,80.27,8.511120992901066,38.87724192721407,1024.653835549356,23.29216373648029,1.0226009148232444,60.71220386086825,Moderate
2020-01-16,Chennai,13.08,80.27,12.231856739607114,57.51494308547749,1006.2599258514705,28.330774110042125,0.0,78.9575498702295,Low
2020-01-17,Chennai,13.08,80.27,15.010926937569549,35.39679576996989,1022.6258070023334,23.080327508215028,1.8275125483984174,16.635620315399258,Moderate
2020-01-18,Chennai,13.08,80.27,18.897714173813036,46.29945533061638,992.0357832362367,20.11486890430099,0.0,75.55368749483627,Moderate
2020-01-19,Chennai,13.08,80.27,5.125350777736573,58.091360536441115,1009.8602431591241,11.116437729735503,0.0,24.040825171811143,Low
2020-01-20,Chennai,13.08,80.27,21.38121759648748,57.1219615850969,996.3572643162269,23.119372982309518,0.0,44.645680032004364,Moderate
2020-01-21,Chennai,13.08,80.27,19.88195612932887,39.90674338644823,1023.2901340936806,26.65494915542945,0.0,71.24023004482605,Low
2020-01-22,Chennai,13.08,80.27,20.259931471820508,34.63744195799963,999.1147414447264,26.46370215578495,0.0,96.11503915547873,High
2020-01-23,Chennai,13.08,80.27,8.986625675012299,31.600330564316565,1020.8829829080076,2.7134396111867973,10.996759865357358,12.595521105404838,Moderate
2020-01-24,Chennai,13.08,80.27,11.309239314594826,69.68373447098193,1004.4321618259959,9.789539313056029,1.2121821809120714,2.6130028722639476,Low
2020-01-25,Chennai,13.08,80.27,14.106843151950091,47.96220703427913,1015.897303220693,10.124709743248866,11.751673167887699,23.04817747969964,Moderate
2020-01-26,Chennai,13.08,80.27,22.575827066415222,49.45404814908123,1014.8823192994821,24.919111013384743,0.0,92.80225548062053,Moderate
2020-01-27,Chennai,13.08,80.27,5.318144213358473,35.7802823502955,1022.1713577367397,18.926542024059113,0.0,56.2469446843475,Moderate
2020-01-28,Chennai,13.08,80.27,20.58165116989521,60.07134038120884,999.3688302113317,20.77301068526099,3.2197066619194703,61.66349415034581,Moderate
2020-01-29,Chennai,13.08,80.27,10.5504789283587,47.382178470284025,1022.8971053510437,17.667548832463783,3.470134385250981,77.22111537778491,Moderate
2020-01-30,Chennai,13.08,80.27,19.740847790487408,50.167144316742366,992.2336929199417,18.684302880181,0.0,68.39038807827068,Moderate
2020-01-31,Chennai,13.08,80.27,14.160994983607026,44.62505077686098,990.2182682844211,15.718462771565102,6.539606251737178,17.671917159967343,Moderate
2020-02-01,Chennai,13.08,80.27,18.41024971310367,50.34515827883584,1009.3730162910724,0.040564295817142604,12.337209421789098,96.17785752139453,Moderate
